#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
7,2.61
6,2.61
6,2.61
6,2.61
11,2.61
11,2.61
8,2.61
8,2.61
11,2.61
12,2.61
12,2.61
14,2.61
12,2.61
12,2.61
14,2.61
12,2.61
10,2.61
9,2.61
7,2.61
9,2.61
9,2.61
9,2.61
9,2.61
10,2.61
10,2.61
12,2.61
13,2.61
12,2.61
10,2.61
10,2.61
10,2.61
11,2.61
9,2.61
8,2.61
9,2.61
9,2.61
8,2.62
8,2.80
8,3.02
7,3.18
8,3.19
8,3.22
8,3.22
9,3.22
9,3.22
9,3.22
9,3.22
9,3.22
8,3.27
7,3.27
7,3.25
7,3.22
7,3.22
8,3.22
9,3.22
9,3.22
9,3.22
8,3.22
8,3.22
8,3.22
8,3.25
7,3.25
7,3.22
8,3.22
8,3.23
8,3.22
9,3.23
9,3.23
9,3.23
9,3.23
10,3.23
9,3.23
9,3.23
9,3.23
9,3.23
9,3.23
9,3.23
9,3.23
9,3.23
10,3.25
9,3.25
9,3.25
10,3.25
10,3.25
9,3.25
10,3.25
8,3.25
10,3.25
10,3.25
10,3.23
10,3.23
11,3.23
10,3.23
11,3.23
12,3.23
11,3.23
9,3.23
9,3.26
8,3.26
9,3.23
8,3.23
8,3.22
8,3.22
8,3.22
8,3.22
9,3.24
8,3.26
8,3.24
8,3.24
8,3.27
8,3.27
9,3.24
10,3.22
10,3.22
11,3.22
11,3.22
11,3.24
10,3.24
9,3.24
9,3.24
12,3.22
11,3.21
11,3.21
10,3.21
10,3.20
11,3.20
10,3.21
10,3.21
10,3.20
10,3.21
10,3.21
8,3.21
8,3.21
8,3.21
9,3.20
9,3.22
8,3.23
8,3.23
9,3.23
6,3.23
6,3.23
5,3.21
5,3.23
6,3.23
9,3.23
9,3.23
9,3.23
9,3.23
9,3.23
9,3.23
11,3.26
11,3.21
7,3.21
10,3.21
11,3.21
11,3.26
11,3.26
10,3.26
9,3.25
9,3.21
8,3.25
8,3.21
9,3.21
9,3.21
8,3.23
8,3.23
8,3.24
8,3.25
8,3.25
7,3.25
7,3.25
7,3.24
10,3.23
10,3.23
12,3.23
10,3.23
10,3.24
12,3.24
8,3.24
8,3.24
8,3.24
8,3.24
9,3.24
10,3.23
10,3.23
11,3.23
11,3.24
10,3.24
10,3.24
10,3.24
9,3.24
5,3.24
4,3.23
5,3.24
5,3.24
7,3.24
7,3.24
7,3.23
7,3.23
7,3.22
9,3.22
7,3.21
7,3.21
10,3.21
7,3.27
10,3.27
11,3.26
11,3.26
12,3.21
12,3.20
12,3.20
12,3.19
12,3.19
11,3.20
12,3.21
11,3.21
11,3.26
12,3.22
12,3.26
12,3.22
12,3.21
11,3.21
11,3.22
11,3.22
9,3.26
4,3.28
9,3.28
11,3.28
11,3.28
11,3.28
9,3.26
9,3.26
11,3.26
11,3.22
9,3.26
5,3.26
8,3.22
8,3.22
8,3.22
8,3.22
8,3.22
8,3.24
8,3.24
8,3.22
8,3.22
8,3.22
7,3.24
6,3.24
6,3.25
6,3.25
5,3.25
5,3.27
6,3.27
5,3.27
6,3.27
6,3.26
6,3.28
6,3.28
6,3.28
6,3.26
7,3.28
8,3.28
8,3.29
10,3.30
10,3.30
11,3.29
11,3.28
11,3.29
10,3.28
10,3.29
10,3.29
11,3.29
11,3.28
11,3.31
12,3.32
12,3.31
12,3.30
11,3.28
12,3.27
10,3.27
10,3.27
7,3.21
6,3.21
7,3.21
7,3.21
7,3.23
10,3.23
10,3.18
10,3.18
10,3.18
11,3.18
9,3.18
9,3.18
9,3.16
9,3.18
9,3.20
9,3.20
9,3.18
9,3.18
9,3.18
9,3.18
9,3.18
9,3.20
9,3.18
8,3.18
8,3.18
10,3.18
10,3.18
10,3.18
10,3.18
10,3.18
10,3.18
10,3.18
10,3.18
9,3.18
9,3.20
9,3.18
8,3.18
8,3.18
6,3.20
6,3.21
6,3.21
8,3.21
9,3.21
9,3.21
9,3.21
11,3.16
10,3.14
10,3.14
